code_insee,is_zrr
01001,False
01002,False
01004,False
01005,False
01006,False
01007,False
01008,False
01009,False
01010,False
01011,False
01012,False
01013,False
01014,False
01015,False
01016,False
01017,False
01019,False
01021,False
01022,False
01023,False
01024,False
01025,False
01026,False
01027,False
01028,False
01029,False
01030,False
01031,False
01032,False
01033,False
01034,False
01035,False
01036,False
01037,False
01038,False
01039,False
01040,False
01041,False
01042,False
01043,False
01044,False
01045,False
01046,False
01047,False
01049,False
01050,False
01051,False
01052,False
01053,False
01054,False
01056,False
01057,False
01058,False
01060,True
01061,False
01062,False
01063,False
01064,False
01065,False
01066,False
01067,False
01068,False
01069,False
01071,False
01072,False
01073,False
01074,False
01075,False
01076,False
01077,False
01078,False
01079,False
01080,True
01081,False
01082,False
01083,False
01084,False
01085,False
01087,False
01088,False
01089,False
01090,False
01092,False
01093,False
01094,False
01095,False
01096,False
01098,False
01099,False
01100,False
01101,True
01102,False
01103,False
01104,False
01105,False
01106,False
01107,False
01108,False
01109,False
01110,False
01111,False
01112,True
01113,False
01114,False
01115,False
01116,False
01117,False
01118,False
01121,False
01123,False
01124,True
01125,False
01127,False
01128,True
01129,False
01130,False
01133,False
01134,False
01135,False
01136,False
01138,False
01139,True
01140,False
01141,False
01142,False
01143,False
01145,False
01146,False
01147,False
01148,False
01149,False
01150,False
01151,False
01152,False
01153,False
01155,False
01156,False
01157,False
01158,False
01159,False
01160,False
01162,False
01163,False
01165,False
01166,False
01167,False
01169,False
01170,False
01171,False
01173,False
01174,False
01175,False
01177,False
01179,False
01180,False
01181,False
01183,False
01184,False
01185,False
01187,True
01188,False
01189,False
01190,False
01191,True
01192,False
01193,False
01194,False
01195,False
01196,False
01197,False
01198,False
01199,False
01200,False
01202,False
01203,False
01204,False
01206,True
01207,False
01208,False
01209,False
01210,False
01211,False
01212,True
01213,False
01214,False
01215,False
01216,False
01219,False
01224,False
01225,False
01227,False
01228,False
01229,False
01230,True
01231,False
01232,False
01233,False
01234,False
01235,False
01236,False
01237,False
01238,False
01239,False
